Valoper,Uptime,Total Slashes,Tombstoned,Blocks Active,Signed Blocks,Missed Blocks,Proposed Blocks,Delegators,Stake,Self Stake
storyvaloper1wl873hxdkhhjalt86zgmyphfzlt2kl39kf4x2a,99.99,0,False,699443,699365,78,70395,11,692905.0,1024.0
storyvaloper1kz2cgurfhgege6zqnk8vwupwzqcjry0du23g4z,99.99,0,False,699078,699016,62,70408,8,667607.0,1024.0
storyvaloper1hvavwqtnjw5m3vtkzgm62kwsfjkhwq7h8m4azm,99.99,0,False,296242,296206,36,1397,2,119990.0,19990.0
storyvaloper1c58gr53xrf6ktwtr8vwmzxyfz2xzzaaz8rrw68,99.99,0,False,296242,296199,43,1405,2,119990.0,19990.0
storyvaloper1zrkjleyv9c4rp5u24cyn6j08ahypep35r4uk3k,99.98,0,False,296242,296176,66,1399,2,119998.0,19998.0
storyvaloper13el67lyw2qpacpuzha9e7p3rpjg8jl8tmecq2q,99.98,0,False,296242,296179,63,1406,2,120035.0,20035.0
storyvaloper1pdj0z84lau0l7vf2jl4qs7yggv48p3avy82spr,99.97,0,False,699443,699242,201,70473,5,680768.0,1024.0
storyvaloper1z0uqv8xrw2j23mlcpmzatt3jj9hzezdq08ar8t,99.97,0,False,699443,699211,232,69361,11,566126.8,6144.0
storyvaloper1xa3rd3vs28jym7pwcacf2t3cgpl590zj6eyuhq,99.97,0,False,296242,296150,92,1424,2,119948.0,19948.0
storyvaloper12vrh9n58r2ftpdjfjj7j4ghfw76sx9c4e45yxl,99.97,0,False,296242,296140,102,1411,2,119991.0,19991.0
storyvaloper1wte6l2r6xh3l6xus8ug0u36xya0cltclyuqy75,99.97,0,False,296242,296150,92,1410,2,120024.0,20024.0
storyvaloper1htkcu0adnlfqg4l29t2n5cc6l2nywle6qyqdr9,99.97,0,False,296242,296142,100,1403,2,118024.0,18024.0
storyvaloper1ml7wkkeuupt9syle0zszvst88632mz8g3aahpy,99.97,0,False,296242,296165,77,1402,2,119989.0,19989.0
storyvaloper1rfnera4cjh83fahr62dlfz2n9yf42v45nltkwy,99.96,0,False,296242,296134,108,1391,2,119900.0,19900.0
storyvaloper1the6ag95nrgg0h6pw3nzxdf4zv4e4uws0x3yln,99.96,0,False,296242,296113,129,1310,2,111024.0,11024.0
storyvaloper13tm6a04err3yzasegk4agqgqfgtt048yhs8hs6,99.96,0,False,296242,296125,117,1398,2,119888.0,19888.0
storyvaloper1enja57p5uhknfynelkkvc64nraeh3hy4p9rxz9,99.96,0,False,296242,296122,120,1424,2,120024.0,20024.0
storyvaloper16nwswhexfkv36f57um68td5j7mtsf9j4wfj4dn,99.96,0,False,296242,296127,115,1198,2,102042.0,1024.0
storyvaloper1mg5wjz3kta5dfqxc93hv9hjg0cha53l97ne3z4,99.96,0,False,296242,296112,130,1403,2,119994.0,19994.0
storyvaloper1lgexam6a80s5yj270tdw7erc54s9xzat7yaama,99.96,0,False,296242,296128,114,1402,2,118939.9,18939.9
storyvaloper1ymsmqlx54g33msau9x98my03p9hd36djvkylqd,99.95,0,False,296242,296095,147,1412,3,121019.0,19995.0
storyvaloper1tnhycpfuzsm4l7l6t3qsy5j2lged8ec8eyft2k,99.95,0,False,296242,296104,138,1414,2,120024.0,20024.0
storyvaloper1tcrwtm792svad9nfkxumyesakx80t2ha4txfns,99.95,0,False,296242,296082,160,1400,2,119999.0,19999.0
storyvaloper1v8pyhyc8npkkl04tpt7uwmev3plpndvwh04qq7,99.95,0,False,296242,296100,142,1879,1,159024.0,159024.0
storyvaloper1d4kf8mu5e84xkqespxc87z5ds8yf26t7p3apqd,99.95,0,False,184673,184573,100,950,2,99873.0,98848.0
storyvaloper13k24q8a30twnuzkpsk9c95xhs7cwdfckx9d9e7,99.95,0,False,296242,296094,148,1416,2,119024.0,19024.0
storyvaloper13hzy82h0cg9xjc0xhc8u28de92ntdjlae3te6u,99.95,0,False,296242,296107,135,1396,2,119995.0,19995.0
storyvaloper14vnfjngu4y2ywga0aunvtaqupngqt2cr9qwz22,99.95,0,False,296086,295934,152,1180,1,100548.0,100548.0
storyvaloper1hcndmwxa0dmdvkzxlxlvdxd033n5jcmh6afkjh,99.95,0,False,296242,296100,142,1396,2,119990.0,19990.0
storyvaloper1cvsdp0tsz25fhedd7cjvntq42347astvar06v8,99.95,0,False,296242,296089,153,1420,2,119550.0,19550.0
storyvaloper1u0jw7jnesvqr55fxfmjycm5uxv9w6mjtfzkwdf,99.95,0,False,82924,82879,45,49,1,100000.0,0.0
storyvaloper1826z0gntznjlcpa4weu55uvtp5mmd62ns05gyq,99.94,0,False,296242,296059,183,1396,2,119948.0,19948.0
storyvaloper1g8lyk7xtfxahjdkta5jcazwc2pz7ht8ucj9wzl,99.94,0,False,296242,296070,172,1399,2,119994.0,19994.0
storyvaloper1wh896802py6w66ymexxqdduf0d4jq4zw04yqzr,99.94,0,False,296242,296066,176,1402,2,119548.0,19548.0
storyvaloper1qxs6uh58zlh0pc59er06xvj53rz0mn9hpfgv25,99.93,0,False,296242,296031,211,1420,2,119900.0,19900.0
storyvaloper187xp6lza085qvj28cpnp55vaexldtlnggkplkx,99.93,0,False,296242,296041,201,1404,2,119001.0,19001.0
storyvaloper16exhdc2hzrtralnk5meca08nd8kfeu00kvxgs3,99.93,0,False,296242,296037,205,1395,2,119500.0,19500.0
storyvaloper16a8rgcx9287q0nusu7frw7n3yrk9hlpn0re0ht,99.93,0,False,296242,296021,221,1403,2,121072.0,21072.0
storyvaloper1765xe28ktlpkxvwsndx4aswx2rwxt24v7lx4u7,99.93,0,False,296242,296045,197,1419,2,119890.0,19890.0
storyvaloper1xx42vsmgccj96hnfw5tumtf062c09z678pg46l,99.92,0,False,296242,295995,247,1370,2,115953.0,15953.0
storyvaloper1d0k6pzc6kpvfwguqwxer87aef5njrqngdgasu0,99.92,0,False,296242,296012,230,1399,2,119995.0,19995.0
storyvaloper10llgt50kejk7exvsvkr5wysr7vqdrmdmwfd37e,99.92,0,False,296242,295999,243,1410,2,119970.0,19970.0
storyvaloper1cn4agxuv5zl96tw3l89w9x89rv6mjcqadcx9y3,99.92,0,False,296242,296008,234,1392,2,119998.0,19998.0
storyvaloper1u30x96px5t3q3kl4n6d0d5sl52zkw5vqylp9fz,99.92,0,False,296242,296016,226,1364,2,115024.0,15024.0
storyvaloper1qzlsuhxyggc58dakmk92420slnsares5c3mk6k,99.91,0,False,699443,698779,664,69508,3,540481.0,2049.0
storyvaloper1r62nlglv96dqhqhsc2dq3tfydh7kp2pq8f7w07,99.91,0,False,296242,295979,263,1410,2,119997.0,19997.0
storyvaloper18cvm8frrckjwfshqdg6p63pzwy9dxvsrlup8kk,99.91,0,False,296242,295979,263,1405,2,119990.0,19990.0
storyvaloper12s7mczq0gsvzyav5sleje29pped8mpgcprr9r2,99.91,0,False,699443,698840,603,69411,4,545602.0,5121.0
storyvaloper19t6g3988z2zhwv9xzzdn9zn0ddsserwln3sjn8,99.9,0,False,296242,295931,311,1410,2,120000.0,20000.0
