Valoper,Uptime,Total Slashes,Tombstoned,Blocks Active,Signed Blocks,Missed Blocks,Proposed Blocks,Delegators,Stake,Self Stake
storyvaloper1qzlsuhxyggc58dakmk92420slnsares5c3mk6k,100.0,0,False,1323997,1323972,25,54434,,,
storyvaloper18waxk5d6zt5k7xnwd5pp8kmsalupthcwdwmr24,100.0,1,True,122,122,0,0,,,
storyvaloper1fqss80elgqdgjz5gtw2dyl82ayh0dy9zz58s47,100.0,1,True,111,111,0,1,,,
storyvaloper12s7mczq0gsvzyav5sleje29pped8mpgcprr9r2,100.0,0,False,1323997,1323985,12,53823,,,
storyvaloper13tmg5f5mtdkj87vq94nlsmhu3kylg6askjvw2f,100.0,0,False,665362,665336,26,4658,,,
storyvaloper1zrkjleyv9c4rp5u24cyn6j08ahypep35r4uk3k,99.99,0,False,658872,658804,68,3932,,,
storyvaloper1zwrnppxgpzm437se3j0asq5k2yk38hc758pdr7,99.99,0,False,665370,665274,96,4659,,,
storyvaloper1gfky97qzujagey6pnw2xz29tduvc34zrn98gg0,99.99,0,False,665280,665234,46,4731,,,
storyvaloper13el67lyw2qpacpuzha9e7p3rpjg8jl8tmecq2q,99.99,0,False,658712,658642,70,3959,,,
storyvaloper1c58gr53xrf6ktwtr8vwmzxyfz2xzzaaz8rrw68,99.99,0,False,737148,737104,44,4432,,,
storyvaloper1m8f8kqcjd846pxqn6v3sz78j6t0jczd9uwky4z,99.99,0,False,665298,665221,77,4636,,,
storyvaloper1mu457ah3ry685w3f0pnq940mpdp04j0skqwtt9,99.99,0,False,665359,665263,96,4662,,,
storyvaloper1xsrjrajnrpx7u2gn7msxz85z469505fvunvsn5,99.98,0,False,665425,665305,120,4762,,,
storyvaloper12956laxe7s5007ye37z7wtdv7h0km5gp4p3xum,99.98,0,False,665280,665157,123,4714,,,
storyvaloper12sa4vsnhuhmw52sht97uhm3fch57enf2sjydhw,99.98,0,False,665280,665155,125,4571,,,
storyvaloper13tm6a04err3yzasegk4agqgqfgtt048yhs8hs6,99.98,0,False,661265,661129,136,3964,,,
storyvaloper1j08gnmvjz5ernv4s4w40jmntwfl7y5hlyxp8jc,99.98,0,False,665290,665180,110,4733,,,
storyvaloper1htkcu0adnlfqg4l29t2n5cc6l2nywle6qyqdr9,99.98,0,False,658825,658711,114,3878,,,
storyvaloper1ml7wkkeuupt9syle0zszvst88632mz8g3aahpy,99.98,0,False,658663,658511,152,3907,,,
storyvaloper1rfnera4cjh83fahr62dlfz2n9yf42v45nltkwy,99.97,0,False,658641,658426,215,3894,,,
storyvaloper1tg3tzx9nt6069sxrw4s6e0g50h4ljmfnc0te4l,99.97,0,False,665375,665174,201,4642,,,
storyvaloper1the6ag95nrgg0h6pw3nzxdf4zv4e4uws0x3yln,99.97,0,False,659169,658999,170,3644,,,
storyvaloper13k24q8a30twnuzkpsk9c95xhs7cwdfckx9d9e7,99.97,0,False,658776,658573,203,3920,,,
storyvaloper1hcndmwxa0dmdvkzxlxlvdxd033n5jcmh6afkjh,99.97,0,False,658707,658483,224,3906,,,
storyvaloper1mg5wjz3kta5dfqxc93hv9hjg0cha53l97ne3z4,99.97,0,False,658705,658531,174,3959,,,
storyvaloper12vrh9n58r2ftpdjfjj7j4ghfw76sx9c4e45yxl,99.96,0,False,658663,658424,239,3933,,,
storyvaloper1vq80dadh9zplaus3pkhasvqc3guztnxhj0fj38,99.96,0,False,665367,665121,246,4605,,,
storyvaloper1u30x96px5t3q3kl4n6d0d5sl52zkw5vqylp9fz,99.96,0,False,662503,662213,290,3804,,,
storyvaloper1ulrqpkgw5utu35362vpvknql9x6qresgags8q2,99.96,0,False,665366,665091,275,4625,,,
storyvaloper1ymsmqlx54g33msau9x98my03p9hd36djvkylqd,99.95,0,False,658712,658381,331,3992,,,
storyvaloper1xx42vsmgccj96hnfw5tumtf062c09z678pg46l,99.95,0,False,658629,658309,320,3802,,,
storyvaloper1wl873hxdkhhjalt86zgmyphfzlt2kl39kf4x2a,99.95,0,False,1323997,1323397,600,65942,,,
storyvaloper137cw3ke8e7lq8u0r57yxqatc6w2m9k379k0zpa,99.95,0,False,665354,665040,314,4693,,,
storyvaloper1rzhgd5rdcff0uee3jahp75guypgalkuldm2tq2,99.94,0,False,665359,664939,420,4721,,,
storyvaloper1r6967ky90cvtpmzag5l2hyqqln7kmcetg72sne,99.94,0,False,665362,664972,390,4713,,,
storyvaloper1fhrm40tnvgf4qp5ywn74pwn72t5eynrgdljds3,99.94,0,False,665332,664943,389,4806,,,
storyvaloper1hvavwqtnjw5m3vtkzgm62kwsfjkhwq7h8m4azm,99.94,0,False,1323273,1322542,731,5631,,,
