Valoper,Uptime,Total Slashes,Tombstoned,Blocks Active,Signed Blocks,Missed Blocks,Proposed Blocks,Delegators,Stake,Self Stake
storyvaloper1qzlsuhxyggc58dakmk92420slnsares5c3mk6k,100.0,0,False,674244,674236,8,24240,120,3916585.1,2049.0
storyvaloper1qxhdqgsmm6vlrfrn594mm46qqenu52cckwa6cc,100.0,0,False,29501,29501,0,199,1,25159.0,25159.0
storyvaloper1zrkjleyv9c4rp5u24cyn6j08ahypep35r4uk3k,100.0,0,False,18342,18342,0,127,1,21042.0,21042.0
storyvaloper1rfnera4cjh83fahr62dlfz2n9yf42v45nltkwy,100.0,0,False,18111,18111,0,123,1,19900.0,19900.0
storyvaloper18waxk5d6zt5k7xnwd5pp8kmsalupthcwdwmr24,100.0,1,True,122,122,0,0,2,134044.0,1044.0
storyvaloper18j8r0grm4yh7lfqvftaxdurum2gdnh567yt3s0,100.0,0,False,18321,18321,0,124,1,24004.0,24004.0
storyvaloper18cvm8frrckjwfshqdg6p63pzwy9dxvsrlup8kk,100.0,0,False,18168,18168,0,127,1,1110.0,1110.0
storyvaloper1fqss80elgqdgjz5gtw2dyl82ayh0dy9zz58s47,100.0,1,True,111,111,0,1,2,133972.8,972.8
storyvaloper12s7mczq0gsvzyav5sleje29pped8mpgcprr9r2,100.0,0,False,674244,674239,5,23636,120,3331074.4,5121.0
storyvaloper1the6ag95nrgg0h6pw3nzxdf4zv4e4uws0x3yln,100.0,0,False,18639,18639,0,115,1,11024.0,11024.0
storyvaloper1s5gd8td90j2cgn9h9we2zpnn0kesespp7nfpfv,100.0,0,False,18173,18173,0,128,1,23048.0,23048.0
storyvaloper13tmg5f5mtdkj87vq94nlsmhu3kylg6askjvw2f,100.0,0,False,656141,656115,26,4581,113,2584288.0,1024.0
storyvaloper14n0ksrhhk2zdrypculd4zuaa64j4cueczq5xhm,100.0,0,False,18350,18350,0,131,1,19999.0,19999.0
storyvaloper1htkcu0adnlfqg4l29t2n5cc6l2nywle6qyqdr9,100.0,0,False,18295,18295,0,121,1,18024.0,18024.0
storyvaloper1c58gr53xrf6ktwtr8vwmzxyfz2xzzaaz8rrw68,100.0,0,False,96618,96618,0,612,1,24825.0,24825.0
storyvaloper1l3t54lspt8pwxzfncg8t5flx4yarkjlj0tpc53,100.0,0,False,18133,18133,0,124,1,19948.0,19948.0
storyvaloper1l7wq80kk7j7e84ml7mzdhrxd66xufm7pvunwj6,100.0,0,False,26016,26016,0,176,1,24857.0,24857.0
storyvaloper1zwrnppxgpzm437se3j0asq5k2yk38hc758pdr7,99.99,0,False,656149,656054,95,4583,115,2484960.0,1024.0
storyvaloper19t6g3988z2zhwv9xzzdn9zn0ddsserwln3sjn8,99.99,0,False,116271,116260,11,628,1,26613.0,26613.0
storyvaloper19320qvhvyy0gqgmxjewt6hrpmun5tac6sp2f76,99.99,0,False,18535,18534,1,128,1,23550.0,23550.0
storyvaloper1xx42vsmgccj96hnfw5tumtf062c09z678pg46l,99.99,0,False,18099,18097,2,119,1,15953.0,15953.0
storyvaloper1gfky97qzujagey6pnw2xz29tduvc34zrn98gg0,99.99,0,False,656059,656013,46,4638,115,3104556.0,1100.0
storyvaloper12e6dh28hq7hd2qwd6v992uwr5ukrmq2xeup4ep,99.99,0,False,18141,18139,2,104,1,1030.0,1030.0
storyvaloper1wte6l2r6xh3l6xus8ug0u36xya0cltclyuqy75,99.99,0,False,98180,98175,5,623,1,24869.0,24869.0
storyvaloper13k24q8a30twnuzkpsk9c95xhs7cwdfckx9d9e7,99.99,0,False,18246,18244,2,123,1,19024.0,19024.0
storyvaloper13kvhv7fny79pdnksuq229ndc0ylnl3wcc697da,99.99,0,False,18648,18647,1,116,1,11000.0,11000.0
storyvaloper1c74pd36ddkr7kk3jtrxw9qhck6v4gn2cdtg3m4,99.99,0,False,20215,20213,2,137,1,100000.0,0.0
storyvaloper1m8f8kqcjd846pxqn6v3sz78j6t0jczd9uwky4z,99.99,0,False,656077,656000,77,4561,114,2500320.0,1024.0
storyvaloper1mg5wjz3kta5dfqxc93hv9hjg0cha53l97ne3z4,99.99,0,False,18175,18173,2,128,1,23349.0,23349.0
storyvaloper1mu457ah3ry685w3f0pnq940mpdp04j0skqwtt9,99.99,0,False,656138,656042,96,4583,114,2612960.0,1024.0
storyvaloper1u2vlklgdfjnah2ll7gghp2cvw4j7x7asynxxdn,99.99,0,False,18159,18158,1,125,1,19999.0,19999.0
storyvaloper1xsrjrajnrpx7u2gn7msxz85z469505fvunvsn5,99.98,0,False,656204,656084,120,4668,115,3158752.0,1024.0
storyvaloper1xa3rd3vs28jym7pwcacf2t3cgpl590zj6eyuhq,99.98,0,False,18133,18129,4,123,1,19948.0,19948.0
storyvaloper187xp6lza085qvj28cpnp55vaexldtlnggkplkx,99.98,0,False,18173,18170,3,122,1,19001.0,19001.0
storyvaloper1f0sljxr2w2vexhmdytgjz6dw57vraadd973t00,99.98,0,False,18161,18158,3,124,1,20000.0,20000.0
storyvaloper1f55pj65qp0rufg2y5u47hz98gtf6jzpts8lpgy,99.98,0,False,18578,18574,4,128,1,23722.0,23722.0
storyvaloper1fuxw9xujuw08cw6ujqx6upw6ja8zcerwsdn224,99.98,0,False,18122,18119,3,103,1,1024.0,1024.0
storyvaloper12956laxe7s5007ye37z7wtdv7h0km5gp4p3xum,99.98,0,False,656059,655937,122,4630,114,2820898.0,1090.0
storyvaloper12vrh9n58r2ftpdjfjj7j4ghfw76sx9c4e45yxl,99.98,0,False,18133,18129,4,125,1,19991.0,19991.0
storyvaloper12sa4vsnhuhmw52sht97uhm3fch57enf2sjydhw,99.98,0,False,656059,655934,125,4509,115,2036525.0,1101.0
storyvaloper1s5j9d80stg70pdg2jan9ea5ln9zcdraarqjark,99.98,0,False,18240,18237,3,123,1,19650.0,19650.0
storyvaloper13tm6a04err3yzasegk4agqgqfgtt048yhs8hs6,99.98,0,False,20735,20731,4,141,1,20912.0,20912.0
storyvaloper13el67lyw2qpacpuzha9e7p3rpjg8jl8tmecq2q,99.98,0,False,18182,18178,4,127,1,24039.0,24039.0
storyvaloper1j08gnmvjz5ernv4s4w40jmntwfl7y5hlyxp8jc,99.98,0,False,656069,655959,110,4643,113,3023584.0,1024.0
storyvaloper1n9ft9mx5q0amlwextftwpehxe082sj2sj8tzrk,99.98,0,False,18673,18670,3,129,1,24507.0,24507.0
storyvaloper16xg48zr4m6unpwqd6c9q2uj4t3nrllqp8tw02u,99.98,0,False,21544,21540,4,148,1,24061.0,24061.0
storyvaloper16nwswhexfkv36f57um68td5j7mtsf9j4wfj4dn,99.98,0,False,674193,674027,166,8016,115,3168634.0,1024.0
storyvaloper1u30x96px5t3q3kl4n6d0d5sl52zkw5vqylp9fz,99.98,0,False,21973,21969,4,142,1,24024.0,24024.0
storyvaloper1ymsmqlx54g33msau9x98my03p9hd36djvkylqd,99.97,0,False,18182,18177,5,127,3,23067.0,21019.0
storyvaloper1x9c7xr8x4du2e926cgztthaq8cydnvcvvypesa,99.97,0,False,18404,18399,5,129,1,24327.0,24327.0
storyvaloper1tg3tzx9nt6069sxrw4s6e0g50h4ljmfnc0te4l,99.97,0,False,656154,655953,201,4571,114,2347815.0,1095.0
storyvaloper1wv2wuyk00y6fscxnyc5m7j9fr4vpwj4thq3kt9,99.97,0,False,18195,18189,6,124,1,19990.0,19990.0
storyvaloper1cu3ua6279lk9w2kxlulzr2ttyzpxd5hytyfc4y,99.97,0,False,18637,18631,6,115,1,11000.0,11000.0
storyvaloper1ml7wkkeuupt9syle0zszvst88632mz8g3aahpy,99.97,0,False,18133,18128,5,123,1,19989.0,19989.0
