Valoper,Uptime,Total Slashes,Tombstoned,Blocks Active,Signed Blocks,Missed Blocks,Proposed Blocks,Delegators,Stake,Self Stake
storyvaloper18waxk5d6zt5k7xnwd5pp8kmsalupthcwdwmr24,100.0,1,True,122,122,0,0,2,134044.0,1044.0
storyvaloper1fqss80elgqdgjz5gtw2dyl82ayh0dy9zz58s47,100.0,1,True,111,111,0,1,2,133972.8,972.8
storyvaloper13tmg5f5mtdkj87vq94nlsmhu3kylg6askjvw2f,100.0,0,False,656141,656115,26,4581,113,2584288.0,1024.0
storyvaloper1zwrnppxgpzm437se3j0asq5k2yk38hc758pdr7,99.99,0,False,656149,656054,95,4583,115,2484960.0,1024.0
storyvaloper1gfky97qzujagey6pnw2xz29tduvc34zrn98gg0,99.99,0,False,656059,656013,46,4638,115,3104556.0,1100.0
storyvaloper1m8f8kqcjd846pxqn6v3sz78j6t0jczd9uwky4z,99.99,0,False,656077,656000,77,4561,114,2500320.0,1024.0
storyvaloper1mu457ah3ry685w3f0pnq940mpdp04j0skqwtt9,99.99,0,False,656138,656042,96,4583,114,2612960.0,1024.0
storyvaloper1xsrjrajnrpx7u2gn7msxz85z469505fvunvsn5,99.98,0,False,656204,656084,120,4668,115,3158752.0,1024.0
storyvaloper12956laxe7s5007ye37z7wtdv7h0km5gp4p3xum,99.98,0,False,656059,655937,122,4630,114,2820898.0,1090.0
storyvaloper12sa4vsnhuhmw52sht97uhm3fch57enf2sjydhw,99.98,0,False,656059,655934,125,4509,115,2036525.0,1101.0
storyvaloper1j08gnmvjz5ernv4s4w40jmntwfl7y5hlyxp8jc,99.98,0,False,656069,655959,110,4643,113,3023584.0,1024.0
storyvaloper16nwswhexfkv36f57um68td5j7mtsf9j4wfj4dn,99.98,0,False,674193,674027,166,8016,115,3168634.0,1024.0
storyvaloper1tg3tzx9nt6069sxrw4s6e0g50h4ljmfnc0te4l,99.97,0,False,656154,655953,201,4571,114,2347815.0,1095.0
storyvaloper1vq80dadh9zplaus3pkhasvqc3guztnxhj0fj38,99.96,0,False,656146,655901,245,4539,115,2217696.0,1024.0
storyvaloper1ulrqpkgw5utu35362vpvknql9x6qresgags8q2,99.96,0,False,656145,655870,275,4541,113,2750176.0,1024.0
storyvaloper137cw3ke8e7lq8u0r57yxqatc6w2m9k379k0zpa,99.95,0,False,656133,655819,314,4626,112,2259726.0,1070.0
storyvaloper1rzhgd5rdcff0uee3jahp75guypgalkuldm2tq2,99.94,0,False,656138,655720,418,4642,113,2606816.0,1024.0
storyvaloper1r6967ky90cvtpmzag5l2hyqqln7kmcetg72sne,99.94,0,False,656141,655753,388,4631,115,2723625.0,1097.0
storyvaloper1fhrm40tnvgf4qp5ywn74pwn72t5eynrgdljds3,99.94,0,False,656111,655723,388,4712,114,3121888.0,1024.0
storyvaloper1d4kf8mu5e84xkqespxc87z5ds8yf26t7p3apqd,99.92,0,False,674020,673460,560,7662,116,2587905.0,98848.0
storyvaloper1jn8fqm7y3kzw0lvc0a8drqlyv6m6vr2rfdhgwu,99.9,0,False,656068,655421,647,4667,113,2882669.0,1050.0
storyvaloper17u46ud0a7wty94yyltqpqkr3fdq9ft9rw0wsgs,99.9,0,False,656111,655478,633,4590,113,2637562.0,1050.0
storyvaloper1ymjw6ydnv35t4dn8v8p7sz092z9fgxj8sltyqd,99.89,0,False,656111,655399,712,4558,115,2411233.0,1025.0
storyvaloper1s4cyy5hasyrmnwcx9rerjuwthu38hna9q8vajc,99.88,0,False,656059,655246,813,4673,116,2580209.5,2048.5
storyvaloper14vnfjngu4y2ywga0aunvtaqupngqt2cr9qwz22,99.88,0,False,674069,673247,822,7759,115,3101622.0,100548.0
storyvaloper1rquq9mmuf9wdy04jvlp5ur0f9nkkwxynft3h7y,99.86,0,False,656111,655224,887,4603,114,2353889.0,1025.0
storyvaloper1k0e9hyrnjkkt702sh94pz048t9pncsd3rawhxn,99.86,0,False,656079,655174,905,4606,114,2268932.0,1060.0
